Item,Transaction,Kuantitas
PANGGANGAN PORTABEL,2,1
LOYANG ROTI 3PCS,3,1
SPREI LADY ROSE 120X20,1,2
BOTOL KACA KAKTUS,2,2
PISAU SULTAN,1,2
SPREI LADY ROSE 180x20,1,1
KOMPOR MIYAKO KG-11C,1,1
GELAS JUS PORTO,1,1
MANTEL PONCO AURORA,2,1
NAMPAN 4 SEDENG,1,1
TREMOS SOLARIS LION STAR,2,1
CANGKIR SET BROWN,3,1
CANGKIR LEPEK ROSE,4,1
SPREI MY LOVE 180 30CM,5,1
SIRUP ABC DUS,1,1
TABLET LCD,2,2
SARUNG SAMARINDA,1,1
TABLET LCD,1,10
SIRUP ABC DUS,2,2
CUTER TRANSPARAN,1,2
SIRUP ABC DUS,2,1
JAM DINDING ANGKA,3,2
LEMARI PIRING ALUMINIUM 6P WARNA,1,1
MASKER DUCKBIL ANAK,2,1
BONEKA BOBA LED XL,3,2
JAM DINDING ANGKA,1,2
SIRUP ABC DUS,2,1
SPREI BONITA 160X20,3,1
BOTOL KACA KAKTUS,4,1
HANDUK MICRO FIBER,1,1
CUTER TRANSPARAN,1,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1,8
DIPAN SULTAN,2,4
NAMPAN 4 SEDENG,1,2
SPRITE/COCA COLA/fFANTA 1 KRAT,2,2
JAM DINDING ANGKA,1,1
CUTER TRANSPARAN,2,1
TOPRON,3,2
MEJA BELAJAR IMPOR KARAKTER,1,1
CUTER TRANSPARAN,1,1
KESED 5D DIATOMITE,2,1
POMPA GALON ELEKTRIK GSF,1,1
TIRAI MAGNET ANTI NYAMUK,1,1
BOX 156 SL,2,1
DOUBLE PAN HAPPY CALL,3,1
BATU BATRAI DYNAMAX,1,1
RACUN TIKUS,1,4
KERANJANG PAJERO WARNA,1,1
TAPLAK MEJA EMAS,1,1
RACUN TIKUS,2,1
SIRUP ABC DUS,1,1
TABLET LCD,2,1
MEJA BELAJAR JUMBO+ KURSI APANEL,1,1
SIRUP ABC DUS,1,1
PISAU SULTAN,1,1
JAM DINDING ANGKA,1,1
PIRING ROTAN PLASTIK,1,1
TALENAN KAYU KCL,2,1
JEMURAN ALUMINIUM STANDART WARNA,3,1
PAYUNG 16 JARI,4,1
CETAKAN PUKIS SUGGO,1,1
PISAU SULTAN,2,1
TREMOS INDOGLASS 1000ML,3,1
PAYUNG PELANGI JUMBO,4,1
RACUN TIKUS,5,1
PANCI EAGLE 20 SARANGAN,1,1
BONEKA BOBA LED XL,1,2
SPRITE/COCA COLA/fFANTA 1 KRAT,2,2
BOTOL KACA KAKTUS,3,1
RACUN TIKUS,1,2
JAM DINDING ANGKA,1,2
TABLET LCD,1,5
TABLET LCD,1,1
CUTER TRANSPARAN,2,1
STAN HANGER TOPI,3,1
TUDUNG SAJI SAGA,1,1
RACUN TIKUS,1,4
JEMURAN LIPAT NAGATO,1,1
MAWAR LAUNDRY REFILL,1,1
SEMPOA 010122,1,1
KERANJANG PAJERO WARNA,1,3
MASKER DUCKBIL ANAK,1,1
TABLET LCD,2,1
PANCI KUAH ENAMEL 22 GSF,1,1
TREMOS ELEPHANT,2,1
MAWAR LAUNDRY REFILL,3,1
TABLET LCD,4,1
GELAS PLASTIK AYAM JAGO JUMBO,1,1
MASKER DUCKBIL ANAK,1,1
SPREI HOME UK 160 & 180,2,1
BOTOL KACA KAKTUS,1,1
BUSA ROYAL 160x20,1,1
BANTAL GULING CANON,2,3
JEMURAN ALUMINIUM STANDART WARNA,3,2
KIPAS WELHOME BERDIRI 1681,4,1
BONEKA BOBA LED XL,1,1
FRYPAN SET TEFLON HITAM ISI 2,1,1
SPONS MANDI,2,1
TEMPAT BUMBU ISI 4 UK M,3,1
BATU BAKAR,4,1
PISAU STENLIS BUAH,5,1
SAMPAH INJAK,6,1
SIRUP ABC DUS,1,1
WAJAN WARNA GSF,1,1
SAPU LIDI KAYU GEPENG,2,1
SARINGAN TEH TANGGUNG,3,1
PISAU SULTAN,1,1
KOK,2,1
TEFLON GSF 22CM,1,1
TABLET LCD,1,1
MAINAN JEEP PUTIH,1,1
MANTEL HARMONY JAKET CELANA,1,1
TREMOS INDOGLASS 500ML,2,1
TIMBANGAN DAPUR KENMASTER,1,1
MAINAN TEFLON YK 27,2,1
BOTOL MINUM 750ML SL,1,3
BOTOL KACA KAKTUS,2,3
KASUR LANTAI PALEMBANG,1,1
MAINAN TARIK,2,1
KIPAS TANGAN GRADASI,1,1
TABLET LCD,1,2
BUSA ROYAL 180x20,1,1
TABLET LCD,2,1
MAINAN TEFLON YK 27,1,1
BOTOL KACA KAKTUS,1,5
TEKO SET JAGO,1,1
BAD COVER BONITA 180X200,1,1
MAWAR LAUNDRY REFILL,1,1
MEJA BELAJAR IMPOR KARAKTER,2,2
BAK HITAM 28 SJP,3,1
KIPAS TANGAN GRADASI,1,1
GELAS TIFFANY,1,1
TIMBANGAN KUE GSF DIGITAL 4505,2,1
SIRUP ABC DUS,1,1
